time,open,high,low,close,RSI,RSI-based MA,Upper Bollinger Band,Lower Bollinger Band
2011-10-01T02:00:00+02:00,1.745,1.745,1.745,1.745,59.5947192,50.40162999,NaN,NaN
2011-11-01T01:00:00+01:00,1.828,1.828,1.828,1.828,61.97016144,51.67130382,NaN,NaN
2011-12-01T01:00:00+01:00,1.976,1.976,1.976,1.976,65.82800798,53.61146176,NaN,NaN
2012-01-01T01:00:00+01:00,2.061,2.061,2.061,2.061,67.84546632,55.58537791,NaN,NaN
2012-02-01T01:00:00+01:00,2.025,2.025,2.025,2.025,66.06643573,57.54793408,NaN,NaN
2012-03-01T01:00:00+01:00,2.044,2.044,2.044,2.044,66.56474957,59.35295697,NaN,NaN
2012-04-01T02:00:00+02:00,1.965,1.965,1.965,1.965,62.45780928,60.62551182,NaN,NaN
2012-05-01T02:00:00+02:00,1.825,1.825,1.825,1.825,55.87817264,61.42533518,NaN,NaN
2012-06-01T02:00:00+02:00,1.819,1.819,1.819,1.819,55.60780246,61.7330052,NaN,NaN
2012-07-01T02:00:00+02:00,1.774,1.774,1.774,1.774,53.51634521,61.59866969,NaN,NaN
2012-08-01T02:00:00+02:00,1.635,1.635,1.635,1.635,47.56533387,60.90839068,NaN,NaN
2012-09-01T02:00:00+02:00,1.692,1.692,1.692,1.692,50.01974622,60.09550189,NaN,NaN
2012-10-01T02:00:00+02:00,1.889,1.889,1.889,1.889,57.43546086,59.6223193,NaN,NaN
2012-11-01T01:00:00+01:00,1.784,1.784,1.784,1.784,52.92784861,58.80557567,NaN,NaN
2012-12-01T01:00:00+01:00,1.689,1.689,1.689,1.689,49.16801919,58.06081138,NaN,NaN
2013-01-01T01:00:00+01:00,1.594,1.594,1.594,1.594,45.67390773,56.89679326,NaN,NaN
2013-02-01T01:00:00+01:00,1.575,1.575,1.575,1.575,44.98535083,55.40803204,NaN,NaN
2013-03-01T01:00:00+01:00,1.496,1.496,1.496,1.496,42.14068395,53.57197615,NaN,NaN
2013-04-01T02:00:00+02:00,1.421,1.421,1.421,1.421,39.58166657,51.68020693,NaN,NaN
2013-05-01T02:00:00+02:00,1.427,1.427,1.427,1.427,39.89611459,49.77530443,NaN,NaN
2013-06-01T02:00:00+02:00,1.489,1.489,1.489,1.489,43.18657183,48.39878747,NaN,NaN
2013-07-01T02:00:00+02:00,1.513,1.513,1.513,1.513,44.45424932,47.58279295,NaN,NaN
2013-08-01T02:00:00+02:00,1.567,1.567,1.567,1.567,47.30335122,46.98961786,NaN,NaN
2013-09-01T02:00:00+02:00,1.555,1.555,1.555,1.555,46.72973343,46.50485987,NaN,NaN
2013-10-01T02:00:00+02:00,1.526,1.526,1.526,1.526,45.30007891,46.34305595,NaN,NaN
2013-11-01T01:00:00+01:00,1.594,1.594,1.594,1.594,49.22292336,46.28614003,NaN,NaN
2013-12-01T01:00:00+01:00,1.658,1.658,1.658,1.658,52.6637588,45.94530417,NaN,NaN
2014-01-01T01:00:00+01:00,1.542,1.542,1.542,1.542,46.51169196,45.48700726,NaN,NaN
2014-02-01T01:00:00+01:00,1.482,1.482,1.482,1.482,43.67004098,45.09429453,NaN,NaN
2014-03-01T01:00:00+01:00,1.582,1.582,1.582,1.582,49.23666832,45.34877743,NaN,NaN
2014-04-01T02:00:00+02:00,1.696,1.696,1.696,1.696,54.72906293,46.04475687,NaN,NaN
2014-05-01T02:00:00+02:00,1.767,1.767,1.767,1.767,57.7920427,47.16271107,NaN,NaN
2014-06-01T02:00:00+02:00,1.717,1.717,1.717,1.717,54.97134004,48.26197346,NaN,NaN
2014-07-01T02:00:00+02:00,1.774,1.774,1.774,1.774,57.51696452,49.5206056,NaN,NaN
2014-08-01T02:00:00+02:00,1.694,1.694,1.694,1.694,52.98911681,50.22078738,NaN,NaN
2014-09-01T02:00:00+02:00,1.706,1.706,1.706,1.706,53.5794297,50.87258598,NaN,NaN
2014-10-01T02:00:00+02:00,1.582,1.582,1.582,1.582,47.01037744,50.85165928,NaN,NaN
2014-11-01T01:00:00+01:00,1.513,1.513,1.513,1.513,43.79286608,50.64188304,NaN,NaN
2014-12-01T01:00:00+01:00,1.47,1.47,1.47,1.47,41.86964302,50.39685191,NaN,NaN
2015-01-01T01:00:00+01:00,1.357,1.357,1.357,1.357,37.24110801,49.54100795,NaN,NaN
2015-02-01T01:00:00+01:00,1.396,1.396,1.396,1.396,39.71797659,48.61630922,NaN,NaN
2015-03-01T01:00:00+01:00,1.36,1.36,1.36,1.36,38.21855242,48.02394211,NaN,NaN
2015-04-01T02:00:00+02:00,1.338,1.338,1.338,1.338,37.29202512,47.56836955,NaN,NaN
2015-05-01T02:00:00+02:00,1.285,1.285,1.285,1.285,35.08530566,46.55755793,NaN,NaN
2015-06-01T02:00:00+02:00,1.29,1.29,1.29,1.29,35.47323254,45.18214148,NaN,NaN
2015-07-01T02:00:00+02:00,1.194,1.194,1.194,1.194,31.57205568,43.30928526,NaN,NaN
2015-08-01T02:00:00+02:00,1.229,1.229,1.229,1.229,34.40443144,41.84022036,NaN,NaN
2015-09-01T02:00:00+02:00,1.234,1.234,1.234,1.234,34.81950178,40.21897302,NaN,NaN
2015-10-01T02:00:00+02:00,1.158,1.158,1.158,1.158,31.55141004,38.68770825,NaN,NaN
2015-11-01T01:00:00+01:00,1.157,1.157,1.157,1.157,31.50950326,37.11128493,NaN,NaN
2015-12-01T01:00:00+01:00,1.129,1.129,1.129,1.129,30.29612728,35.91740992,NaN,NaN
2016-01-01T01:00:00+01:00,1.337,1.337,1.337,1.337,46.7122678,36.12593862,NaN,NaN
2016-02-01T01:00:00+01:00,1.394,1.394,1.394,1.394,50.17528896,36.71919904,NaN,NaN
2016-03-01T01:00:00+01:00,1.385,1.385,1.385,1.385,49.62688915,37.60389769,NaN,NaN
2016-04-01T02:00:00+02:00,1.468,1.468,1.468,1.468,54.55943779,38.66400207,NaN,NaN
2016-05-01T02:00:00+02:00,1.497,1.497,1.497,1.497,56.17419452,39.94654793,NaN,NaN
2016-06-01T02:00:00+02:00,1.498,1.498,1.498,1.498,56.23195187,41.29939984,NaN,NaN
2016-07-01T02:00:00+02:00,1.581,1.581,1.581,1.581,60.844424,43.13933687,NaN,NaN
2016-08-01T02:00:00+02:00,1.698,1.698,1.698,1.698,66.24464688,45.33729503,NaN,NaN
2016-09-01T02:00:00+02:00,1.684,1.684,1.684,1.684,65.08788208,47.73128263,NaN,NaN
2016-10-01T02:00:00+02:00,1.82,1.82,1.82,1.82,70.48049137,50.30814406,NaN,NaN
2016-11-01T01:00:00+01:00,1.762,1.762,1.762,1.762,65.81174848,52.52187596,NaN,NaN
2016-12-01T01:00:00+01:00,1.828,1.828,1.828,1.828,68.37866564,55.15239422,NaN,NaN
2017-01-01T01:00:00+01:00,1.902,1.902,1.902,1.902,71.00711082,57.9736519,NaN,NaN
2017-02-01T01:00:00+01:00,1.941,1.941,1.941,1.941,72.31330407,60.97487882,NaN,NaN
2017-03-01T01:00:00+01:00,1.747,1.747,1.747,1.747,58.25400854,61.79928887,NaN,NaN
2017-04-01T02:00:00+02:00,1.734,1.734,1.734,1.734,57.44798731,62.31876732,NaN,NaN
2017-05-01T02:00:00+02:00,1.672,1.672,1.672,1.672,53.6363391,62.60515661,NaN,NaN
2017-06-01T02:00:00+02:00,1.696,1.696,1.696,1.696,54.88421318,62.62835485,NaN,NaN
2017-07-01T02:00:00+02:00,1.585,1.585,1.585,1.585,48.39634485,62.07279416,NaN,NaN
2017-08-01T02:00:00+02:00,1.52,1.52,1.52,1.52,45.03883861,61.27328607,NaN,NaN
2017-09-01T02:00:00+02:00,1.535,1.535,1.535,1.535,45.97037285,60.21085384,NaN,NaN
2017-10-01T02:00:00+02:00,1.651,1.651,1.651,1.651,52.65353359,59.24006004,NaN,NaN
2017-11-01T01:00:00+01:00,1.679,1.679,1.679,1.679,54.12848511,58.45724597,NaN,NaN
2017-12-01T01:00:00+01:00,1.696,1.696,1.696,1.696,55.04418182,57.35465243,NaN,NaN
2018-01-01T01:00:00+01:00,1.749,1.749,1.749,1.749,57.86797286,56.78723988,NaN,NaN
2018-02-01T01:00:00+01:00,1.766,1.766,1.766,1.766,58.76270806,56.10038577,NaN,NaN
2018-03-01T01:00:00+01:00,2.047,2.047,2.047,2.047,70.07514751,56.03381696,NaN,NaN
2018-04-01T02:00:00+02:00,1.979,1.979,1.979,1.979,65.39963995,55.53998381,NaN,NaN
2018-05-01T02:00:00+02:00,2.077,2.077,2.077,2.077,68.64642581,56.28229933,NaN,NaN
2018-06-01T02:00:00+02:00,2.037,2.037,2.037,2.037,65.92713395,56.88795266,NaN,NaN
2018-07-01T02:00:00+02:00,2.11,2.11,2.11,2.11,68.38825994,57.94166129,NaN,NaN
2018-08-01T02:00:00+02:00,2.01,2.01,2.01,2.01,61.80267607,58.43583721,NaN,NaN
2018-09-01T02:00:00+02:00,2.089,2.089,2.089,2.089,64.69508489,59.60003293,NaN,NaN
2018-10-01T02:00:00+02:00,1.96,1.96,1.96,1.96,57.0926263,60.46101776,NaN,NaN
